\rules only table

|(Position) |name |invocations |avgTime |totalTime |percentTime |
|0 |filter: [all[shadows+tiddlers]removeprefix<__prefix__>removeprefix<__chunk__>] -[<__prefix__>addsuffix<__chunk__>] |444 |0.972972972972973 |432 |26.118500604594924 |
|1 |filter: [all[missing]sort[title]] |1 |150 |150 |9.068923821039904 |
|2 |filter: [all[tiddlers+shadows]tag[$:/tags/MenuBar]] -[all[tiddlers+shadows]prefix[$:/config/plugins/menubar/MenuItems/Visibility/]regexp:text[hide]removeprefix[$:/config/plugins/menubar/MenuItems/Visibility/]] -[all[tiddlers+shadows]tag[$:/tags/TopLeftBar]limit[1]then[]else[$:/plugins/tiddlywiki/menubar/items/topleftbar]] -[all[tiddlers+shadows]tag[$:/tags/TopRightBar]limit[1]then[$:/plugins/tiddlywiki/menubar/items/toprightbar]] -$:/plugins/tiddlywiki/menubar/items/hamburger +[limit[1]] |101 |1.2772277227722773 |129 |7.799274486094316 |
|3 |filter: [all[shadows+tiddlers]removeprefix<__prefix__>splitbefore<__separator__>sort[]!suffix<__separator__>] |46 |1.4782608695652173 |68 |4.111245465538089 |
|4 |filter: [all[shadows+tiddlers]removeprefix<__prefix__>splitbefore<__separator__>sort[]suffix<__separator__>] |46 |1.3478260869565217 |62 |3.7484885126964933 |
|5 |filter: [all[shadows]sort[title]] |5 |10.8 |54 |3.2648125755743655 |
|6 |filter:  [all[shadows+tiddlers]prefix[$:/language/Docs/Types/]get[name]length[]maxall[]]  |101 |0.504950495049505 |51 |3.083434099153567 |
|7 |filter: [<__prefix__>addsuffix<__chunk__>is[shadow]] [<__prefix__>addsuffix<__chunk__>is[tiddler]] |2031 |0.022156573116691284 |45 |2.720677146311971 |
|8 |filter: [tag[HelloThumbnail]] |60 |0.55 |33 |1.995163240628779 |
|9 |filter: [all[tiddlers+shadows]tag[$:/tags/MenuBar]] -[all[tiddlers+shadows]prefix[$:/config/plugins/menubar/MenuItems/Visibility/]regexp:text[hide]removeprefix[$:/config/plugins/menubar/MenuItems/Visibility/]] -[all[tiddlers+shadows]tag[$:/tags/TopLeftBar]limit[1]then[]else[$:/plugins/tiddlywiki/menubar/items/topleftbar]] -[all[tiddlers+shadows]tag[$:/tags/TopRightBar]limit[1]then[$:/plugins/tiddlywiki/menubar/items/toprightbar]] +[limit[1]] |101 |0.2871287128712871 |29 |1.7533252720677146 |
|10 |filter: [<tv-config-toolbar-class>] [<listItem>encodeuricomponent[]addprefix[tc-btn-]] |1143 |0.024496937882764653 |28 |1.6928657799274487 |
|11 |filter: [all[orphans]sort[title]] |1 |27 |27 |1.6324062877871828 |
|12 |filter: [<currentTiddler>addprefix[$:/config/plugins/menubar/MenuItems/Visibility/]get[text]] ~show +[match[show]] |1818 |0.013201320132013201 |24 |1.4510278113663846 |
|13 |filter: [!is[system]has[modified]!sort[modified]limit[100]eachday[modified]] |2 |11.5 |23 |1.3905683192261185 |
|14 |filter: [tag[Articles]] [tag[Examples]] [tag[Resources]] [tag[Tutorials]] +[!sort[modified]limit[8]] |63 |0.2857142857142857 |18 |1.0882708585247884 |
|15 |filter: [tag[ReleaseNotes]!sort[created]limit[1]] |25 |0.72 |18 |1.0882708585247884 |
|16 |filter: [all[system+tiddlers]tag[systemConfig]limit[1]] |101 |0.16831683168316833 |17 |1.0278113663845223 |
|17 |filter:  tc-tiddler-frame tc-tiddler-view-frame [<currentTiddler>is[tiddler]then[tc-tiddler-exists]] [<currentTiddler>is[missing]!is[shadow]then[tc-tiddler-missing]] [<currentTiddler>is[shadow]then[tc-tiddler-exists tc-tiddler-shadow]] [<currentTiddler>is[shadow]is[tiddler]then[tc-tiddler-overridden-shadow]] [<currentTiddler>is[system]then[tc-tiddler-system]] [{!!class}] [<currentTiddler>tags[]encodeuricomponent[]addprefix[tc-tagged-]] +[join[ ]]  |280 |0.05714285714285714 |16 |0.9673518742442563 |
|18 |filter:  [[$:/state/popup/icon/]addsuffix<__title__>]  |640 |0.0234375 |15 |0.9068923821039904 |
|19 |filter: [[$:/core/ui/PageMacros]] [all[shadows+tiddlers]tag[$:/tags/Macro]!has[draft.of]] |202 |0.06930693069306931 |14 |0.8464328899637243 |
|20 |filter:  [{$:/themes/tiddlywiki/vanilla/metrics/sidebarbreakpoint}removesuffix[px]subtract[1]addsuffix[px]] ~[{$:/themes/tiddlywiki/vanilla/metrics/sidebarbreakpoint}]  |909 |0.015401540154015401 |14 |0.8464328899637243 |
|21 |filter: [has[draft.of]!sort[modified]] -[list[$:/StoryList]] |101 |0.13861386138613863 |14 |0.8464328899637243 |
|22 |filter: [<hidden>!text[hide]] |2525 |0.005148514851485149 |13 |0.7859733978234582 |
|23 |filter: [<tv-config-toolbar-text>match[yes]] |1176 |0.011054421768707483 |13 |0.7859733978234582 |
|24 |filter: [tags[]!is[system]sort[title]] |6 |2.1666666666666665 |13 |0.7859733978234582 |
|25 |filter: [all[]] -[prefix[$:/HistoryList]] -[prefix[$:/StoryList]] -[status[pending]plugin-type[import]] -[[$:/isEncrypted]] -[[$:/UploadName]] -[prefix[$:/state/]] -[prefix[$:/temp/]] |101 |0.1188118811881188 |12 |0.7255139056831923 |
|26 |filter: [<tv-config-toolbar-icons>match[yes]] |1176 |0.01020408163265306 |12 |0.7255139056831923 |
|27 |filter: [all[current]tag[Filter Operators]] |280 |0.039285714285714285 |11 |0.6650544135429262 |
|28 |filter: [all[current]tagging[]limit[1]] |640 |0.0171875 |11 |0.6650544135429262 |
|29 |filter: [all[shadows+tiddlers]tag[$:/tags/MenuBar]!has[draft.of]] -[all[tiddlers+shadows]tag[$:/tags/TopLeftBar]limit[1]then[]else[$:/plugins/tiddlywiki/menubar/items/topleftbar]] -[all[tiddlers+shadows]tag[$:/tags/TopRightBar]limit[1]then[]else[$:/plugins/tiddlywiki/menubar/items/toprightbar]] +[limit[1]] |101 |0.09900990099009901 |10 |0.6045949214026602 |
|30 |filter: [sameday:modified{!!modified}!is[system]!sort[modified]] |26 |0.38461538461538464 |10 |0.6045949214026602 |
|31 |filter: [!is[system]sort[title]] |5 |2 |10 |0.6045949214026602 |
|32 |filter: [tags[]sort[title]] |4 |2.5 |10 |0.6045949214026602 |
|33 |filter: [fields[]sort[title]] |2 |5 |10 |0.6045949214026602 |
|34 |filter: [all[shadows+tiddlers]tag[$:/tags/ViewTemplate]!has[draft.of]] |280 |0.03214285714285714 |9 |0.5441354292623942 |
|35 |filter: Forums Latest Tutorials [[Community Editions]] [[Community Plugins]] [[Community Themes]] [[Community Palettes]] [[Other Resources]] Examples Articles Meetups |202 |0.04455445544554455 |9 |0.5441354292623942 |
|36 |filter: [all[current]tagging[]] |320 |0.028125 |9 |0.5441354292623942 |
|37 |filter: [all[shadows+tiddlers]tag[$:/tags/ViewToolbar]!has[draft.of]] |280 |0.02857142857142857 |8 |0.48367593712212814 |
